symbol,strategy,wins,losses,total_trades,win_pcnt,profit
ETHUSD,engulfing_candle,54.0,17.0,71.0,76.05633802816901,-1.3800000000000001
ETHUSD,rsi,19.0,22.0,41.0,46.34146341463415,-0.41000000000000014
SP500,engulfing_candle,27.0,8.0,35.0,77.14285714285715,3.2399999999999998
SP500,rsi,10.0,6.0,16.0,62.5,-2.08
