time,bid_ask
2023-12-23 12:10:55.017693,1.46
2023-12-23 12:11:55.021810,1.46
2023-12-23 12:12:55.031200,1.51
2023-12-23 12:13:55.041721,1.46
2023-12-23 12:14:55.053554,1.46
2023-12-23 12:15:55.059553,1.46
2023-12-23 12:16:55.064304,1.46
2023-12-23 12:17:55.064546,1.46
2023-12-23 12:18:55.073288,1.46
2023-12-23 12:19:55.074659,1.46
2023-12-23 12:20:55.089301,1.69
2023-12-23 12:21:55.106145,1.47
2023-12-23 12:22:55.115887,1.46
2023-12-23 12:23:55.117943,1.46
2023-12-23 12:24:55.131663,1.46
2023-12-23 12:25:55.148345,1.46
2023-12-23 12:26:55.162683,1.46
2023-12-23 12:27:55.177786,1.46
2023-12-23 12:28:55.181206,1.46
2023-12-23 12:29:55.186101,1.46
2023-12-23 12:30:55.194109,1.65
2023-12-23 12:31:55.208648,1.83
2023-12-23 12:32:55.224704,1.46
2023-12-23 12:33:55.238026,1.46
2023-12-23 12:34:55.243688,1.46
2023-12-23 12:35:55.256001,1.46
2023-12-23 12:36:55.266081,1.66
2023-12-23 12:37:55.277542,1.46
2023-12-23 12:38:55.286496,1.46
2023-12-23 12:39:55.286704,1.46
2023-12-23 12:40:55.299815,1.46
2023-12-23 12:41:55.314828,1.46
2023-12-23 12:42:55.324003,1.46
2023-12-23 12:43:55.327944,1.46
2023-12-23 12:44:55.337861,1.46
2023-12-23 12:45:55.348022,1.46
2023-12-23 12:46:55.356036,1.46
2023-12-23 12:47:55.367526,1.46
2023-12-23 12:48:55.369705,1.46
2023-12-23 12:49:55.381958,1.46
2023-12-23 12:50:55.392012,1.46
2023-12-23 12:51:55.400960,1.46
2023-12-23 12:52:55.401270,1.46
2023-12-23 12:53:55.416247,1.46
2023-12-23 12:54:55.430127,1.46
2023-12-23 12:55:55.438471,1.46
2023-12-23 12:56:55.456237,1.46
2023-12-23 12:57:55.466078,1.46
2023-12-23 12:58:55.475862,1.46
2023-12-23 12:59:55.486048,1.46
2023-12-23 13:00:55.499959,1.46
2023-12-23 13:01:55.516163,1.46
2023-12-23 13:02:55.527055,1.66
2023-12-23 13:03:55.536060,1.52
2023-12-23 13:04:55.551910,1.46
2023-12-23 13:05:55.557993,1.46
2023-12-23 13:06:55.567461,1.46
2023-12-23 13:07:55.573889,1.47
2023-12-23 13:08:55.586143,1.46
2023-12-23 13:09:55.597554,1.46
2023-12-23 13:10:55.613567,1.67
2023-12-23 13:11:55.625948,1.46
2023-12-23 13:12:55.641534,1.46
2023-12-23 13:13:55.647979,1.46
2023-12-23 13:14:55.649839,1.76
2023-12-23 13:15:55.659995,1.46
2023-12-23 13:16:55.671341,1.46
2023-12-23 13:17:55.679688,1.46
2023-12-23 13:18:55.692171,1.46
2023-12-23 13:19:55.695290,1.65
2023-12-23 13:20:55.706030,1.46
2023-12-23 13:21:55.715859,1.46
2023-12-23 13:22:55.722025,1.46
2023-12-23 13:23:55.727811,1.46
2023-12-23 13:24:55.746109,1.46
2023-12-23 13:25:55.752605,1.79
2023-12-23 13:26:55.763461,1.46
2023-12-23 13:27:55.768053,1.46
2023-12-23 13:28:55.776075,1.46
2023-12-23 13:29:55.786107,1.46
2023-12-23 13:30:55.790326,1.46
2023-12-23 13:31:55.805486,1.46
2023-12-23 13:32:55.810677,1.46
2023-12-23 13:33:55.820006,1.46
2023-12-23 13:34:55.834023,1.46
2023-12-23 13:35:55.846757,1.46
2023-12-23 13:36:55.851812,1.46
2023-12-23 13:37:55.856939,1.49
2023-12-23 13:38:55.868404,1.46
2023-12-23 13:39:55.883854,1.46
2023-12-23 13:40:55.894424,1.46
2023-12-23 13:41:55.907651,1.46
2023-12-23 13:42:55.912984,1.46
2023-12-23 13:43:55.924131,1.46
2023-12-23 13:44:55.928916,1.46
2023-12-23 13:45:55.944090,1.46
2023-12-23 13:46:55.959842,1.46
2023-12-23 13:47:55.961789,1.46
2023-12-23 13:48:55.974025,1.71
2023-12-23 13:49:55.990474,1.46
2023-12-23 13:50:55.996046,1.66
2023-12-23 13:51:55.999518,1.79
2023-12-23 13:52:56.001765,1.46
2023-12-23 13:53:56.008355,1.46
2023-12-23 13:54:56.014203,1.46
2023-12-23 13:55:56.029979,1.51
2023-12-23 13:56:56.035751,1.46
2023-12-23 13:57:56.046883,1.46
2023-12-23 13:58:56.060314,1.67
2023-12-23 13:59:56.064439,1.53
2023-12-23 14:00:56.072108,1.46
2023-12-23 14:01:56.074107,1.46
2023-12-23 14:02:56.087814,1.46
2023-12-23 14:03:56.096770,1.46
2023-12-23 14:04:56.109963,1.46
2023-12-23 14:05:56.120268,1.46
2023-12-23 14:06:56.133359,1.46
2023-12-23 14:07:56.136679,1.46
2023-12-23 14:08:56.147989,1.46
2023-12-23 14:09:56.150219,1.46
2023-12-23 14:10:56.160154,1.46
2023-12-23 14:11:56.168216,1.55
2023-12-23 14:12:56.180352,1.64
2023-12-23 14:13:56.191798,1.46
2023-12-23 14:14:56.199201,1.46
2023-12-23 14:15:56.206031,1.46
2023-12-23 14:16:56.215898,1.47
2023-12-23 14:17:56.228280,1.46
2023-12-23 14:18:56.240145,1.46
2023-12-23 14:19:56.254042,1.46
2023-12-23 14:20:56.266020,1.51
2023-12-23 14:21:56.272708,1.49
2023-12-23 14:22:56.286140,1.46
2023-12-23 14:23:56.296048,1.46
2023-12-23 14:24:56.307947,1.46
2023-12-23 14:25:56.317758,1.46
2023-12-23 14:26:56.331216,1.46
2023-12-23 14:27:56.345940,1.46
2023-12-23 14:28:56.355987,1.46
2023-12-23 14:29:56.367811,1.49
2023-12-23 14:30:56.378040,1.46
2023-12-23 14:31:56.393350,1.46
2023-12-23 14:32:56.396451,1.46
2023-12-23 14:33:56.410385,1.62
2023-12-23 14:34:56.422318,1.46
2023-12-23 14:35:56.437781,1.46
2023-12-23 14:36:56.440185,1.46
2023-12-23 14:37:56.453022,1.46
2023-12-23 14:38:56.456156,1.46
2023-12-23 14:39:56.473492,1.46
2023-12-23 14:40:56.477672,1.46
2023-12-23 14:41:56.489342,1.68
2023-12-23 14:42:56.504268,1.57
2023-12-23 14:43:56.505995,1.56
2023-12-23 14:44:56.508028,1.46
2023-12-23 14:45:56.520021,1.46
2023-12-23 14:46:56.533910,1.46
2023-12-23 14:47:56.544246,1.46
2023-12-23 14:48:56.559674,1.46
2023-12-23 14:49:56.562274,1.46
2023-12-23 14:50:56.575861,1.46
2023-12-23 14:51:56.586234,1.46
2023-12-23 14:52:56.597900,1.46
2023-12-23 14:53:56.599300,1.46
2023-12-23 14:54:56.611384,1.46
2023-12-23 14:55:56.617805,1.46
2023-12-23 14:56:56.619320,1.46
2023-12-23 14:57:56.628098,1.46
2023-12-23 14:58:56.643828,1.46
2023-12-23 14:59:56.662642,1.46
2023-12-23 15:00:56.676410,1.46
2023-12-23 15:01:56.680194,1.46
2023-12-23 15:02:56.696387,1.46
2023-12-23 15:03:56.705736,1.46
2023-12-23 15:04:56.706020,1.46
2023-12-23 15:05:56.710299,1.46
2023-12-23 15:06:56.726050,1.46
2023-12-23 15:07:56.736024,1.46
2023-12-23 15:08:56.738008,1.46
2023-12-23 15:09:56.744215,1.46
2023-12-23 15:10:56.749781,1.46
2023-12-23 15:11:56.759570,1.46
2023-12-23 15:12:56.768180,1.46
2023-12-23 15:13:56.784278,1.46
2023-12-23 15:14:56.793764,1.52
2023-12-23 15:15:56.794020,1.46
2023-12-23 15:16:56.801365,1.46
2023-12-23 15:17:56.811994,1.46
2023-12-23 15:18:56.821748,1.67
2023-12-23 15:19:56.836233,1.76
2023-12-23 15:20:56.842131,1.46
2023-12-23 15:21:56.846681,1.46
2023-12-23 15:22:56.855947,1.46
2023-12-23 15:23:56.872015,1.46
2023-12-23 15:24:56.886082,1.46
2023-12-23 15:25:56.892384,1.46
2023-12-23 15:26:56.900225,1.46
2023-12-23 15:27:56.906723,2.12
2023-12-23 15:28:56.916122,1.46
2023-12-23 15:29:56.919835,1.46
2023-12-23 15:30:56.925414,1.46
2023-12-23 15:31:56.938321,1.46
2023-12-23 15:32:56.951934,1.68
2023-12-23 15:33:56.957870,1.75
2023-12-23 15:34:56.965907,1.54
2023-12-23 15:35:56.967945,1.46
2023-12-23 15:36:56.981804,1.46
2023-12-23 15:37:56.992238,1.46
2023-12-23 15:38:57.003865,1.46
2023-12-23 15:39:57.015536,1.46
2023-12-23 15:40:57.028027,1.46
2023-12-23 15:41:57.036714,1.5
2023-12-23 15:42:57.047555,1.46
2023-12-23 15:43:57.062269,1.46
2023-12-23 15:44:57.064870,1.46
2023-12-23 15:45:57.073916,1.46
2023-12-23 15:46:57.085434,1.46
2023-12-23 15:47:57.089616,1.46
2023-12-23 15:48:57.097271,1.46
2023-12-23 15:49:57.101366,1.46
2023-12-23 15:50:57.111667,1.46
2023-12-23 15:51:57.127642,1.46
2023-12-23 15:52:57.131425,1.46
2023-12-23 15:53:57.143812,1.46
2023-12-23 15:54:57.155817,1.82
2023-12-23 15:55:57.163216,1.55
2023-12-23 15:56:57.169964,1.46
2023-12-23 15:57:57.186098,1.46
2023-12-23 15:58:57.195766,1.46
2023-12-23 15:59:57.207728,1.46
2023-12-23 16:00:57.211712,1.46
2023-12-23 16:01:57.229657,1.46
2023-12-23 16:02:57.241725,1.46
2023-12-23 16:03:57.251528,1.46
2023-12-23 16:04:57.265443,1.46
2023-12-23 16:05:57.269487,1.46
2023-12-23 16:06:57.279698,1.64
2023-12-23 16:07:57.281346,1.46
2023-12-23 16:08:57.287349,1.46
2023-12-23 16:09:57.287634,1.46
2023-12-23 16:10:57.293810,1.46
2023-12-23 16:11:57.305886,1.46
2023-12-23 16:12:57.311713,1.46
2023-12-23 16:13:57.311849,1.46
2023-12-23 16:14:57.315590,1.46
2023-12-23 16:15:57.328042,1.46
2023-12-23 16:16:57.329666,1.46
2023-12-23 16:17:57.329936,1.46
2023-12-23 16:18:57.337922,1.46
2023-12-23 16:19:57.348101,1.46
2023-12-23 16:20:57.352029,1.46
2023-12-23 16:21:57.367759,1.48
2023-12-23 16:22:57.379791,1.46
2023-12-23 16:23:57.393206,1.62
2023-12-23 16:24:57.397878,1.46
2023-12-23 16:25:57.410403,1.46
2023-12-23 16:26:57.411943,1.46
2023-12-23 16:27:57.427051,1.46
2023-12-23 16:28:57.438033,1.46
2023-12-23 16:29:57.441618,1.46
2023-12-23 16:30:57.449672,1.46
2023-12-23 16:31:57.455668,1.46
2023-12-23 16:32:57.469910,1.55
2023-12-23 16:33:57.471773,1.99
2023-12-23 16:34:57.485737,1.46
2023-12-23 16:35:57.491739,1.46
2023-12-23 16:36:57.505521,1.46
2023-12-23 16:37:57.509859,1.46
2023-12-23 16:38:57.525650,1.46
2023-12-23 16:39:57.541747,1.46
2023-12-23 16:40:57.543636,1.46
2023-12-23 16:41:57.553761,1.46
2023-12-23 16:42:57.557269,1.46
